REFERENCE_MONTH,HEADQUATERS_CURRENT_ID,HEADQUATERS_CURRENT_NAME,BUSINESS_CURRENT_DEPARTMENT_CODE,BUSINESS_CURRENT_DEPARTMENT_NAME,SALES_GROUP_CURRENT_CODE,SALES_GROUP_CURRENT_NAME,ROUTE_CURRENT_BUSINESS_DEPARTMENT_CODE,ROUTE_CURRENT_BUSINESS_DEPARTMENT_NAME,MANAGER_ID,MANAGER_NAME,HEAD_OFFICE_CODE,HEAD_OFFICE_NAME,CUSTOMER_ID,CUSTOMER_NAME,PRODUCT_NUMBER,PRODUCT_NAME,LARGE_PRODUCT_CATEGORY,LARGE_PRODUCT_CATEGORY_NAME,MIDDLE_PRODUCT_CATEGORY,MIDDLE_PRODUCT_CATEGORY_NAME,SMALL_PRODUCT_CATEGORY,SMALL_PRODUCT_CATEGORY_NAME,DETAILED_PRODUCT_CATEGORY,DETAILED_PRODUCT_CATEGORY_NAME,PB_DIV_CD,PB_DIV_NM,SALES_VALUE_AT_HANDLING_REFERENCE,SALES_PROFIT_AMOUNT
2024.06,25817,본부_1,66484,사업부_3,15000,영업그룹_4,42605,경로사업부_1,40058,매니저_5,09443,본점_2,72182478,고객_10,88701449,상품_1,408,대분류_1,7794,중분류_3,5404,소분류_4,4290,세분류_1,01,PB_1,93787.3943423789,7905.904047095186
2024.04,88114,본부_5,18075,사업부_2,66869,영업그룹_3,37283,경로사업부_5,68924,매니저_1,79956,본점_4,90482989,고객_11,96264659,상품_2,614,대분류_4,2601,중분류_1,7296,소분류_5,4290,세분류_1,03,PB_3,88715.18648038912,421.1215102701911
2023.05,42786,본부_4,84073,사업부_4,77006,영업그룹_2,37283,경로사업부_5,68924,매니저_1,91638,본점_5,05847842,고객_8,92586340,상품_3,614,대분류_4,2601,중분류_1,1649,소분류_3,4290,세분류_1,01,PB_1,84166.15384829503,3278.776668078566
2024.07,25487,본부_3,84073,사업부_4,66869,영업그룹_3,09014,경로사업부_2,68924,매니저_1,40814,본점_3,07489926,고객_15,22634641,상품_4,408,대분류_1,7794,중분류_3,7296,소분류_5,4290,세분류_1,04,PB_4,42874.4148833192,1066.612338387588
2023.06,88114,본부_5,84073,사업부_4,15000,영업그룹_4,45128,경로사업부_4,68924,매니저_1,79956,본점_4,54654342,고객_14,90010120,상품_5,815,대분류_2,0162,중분류_5,8121,소분류_2,2897,세분류_4,02,PB_2,13761.624206392326,2151.2672108812817
2024.06,88114,본부_5,18075,사업부_2,66869,영업그룹_3,45128,경로사업부_4,32438,매니저_4,91638,본점_5,73065718,고객_7,46300200,상품_6,614,대분류_4,2601,중분류_1,7296,소분류_5,7025,세분류_3,01,PB_1,79713.34079140458,3222.5500425968676
2024.04,42786,본부_4,18075,사업부_2,40645,영업그룹_1,45128,경로사업부_4,68924,매니저_1,09443,본점_2,15967515,고객_19,44845198,상품_7,815,대분류_2,2601,중분류_1,1649,소분류_3,7951,세분류_5,04,PB_4,33317.67956120975,5038.940871847385
2023.08,25487,본부_3,84073,사업부_4,66869,영업그룹_3,09014,경로사업부_2,68924,매니저_1,91638,본점_5,97278440,고객_18,01789317,상품_8,933,대분류_5,0162,중분류_5,5404,소분류_4,7655,세분류_2,02,PB_2,51916.87976951071,9567.148515767696
2024.06,25817,본부_1,18075,사업부_2,05944,영업그룹_5,37283,경로사업부_5,46638,매니저_2,91638,본점_5,67670783,고객_4,97721409,상품_9,408,대분류_1,0162,중분류_5,7296,소분류_5,7951,세분류_5,02,PB_2,8469.516503167282,7360.117058465124
2023.07,25487,본부_3,84073,사업부_4,77006,영업그룹_2,42605,경로사업부_1,46638,매니저_2,62642,본점_1,17448779,고객_6,83939976,상품_10,408,대분류_1,0162,중분류_5,8121,소분류_2,4290,세분류_1,01,PB_1,92619.06630980254,2860.006806105142
2024.09,05467,본부_2,18075,사업부_2,77006,영업그룹_2,42605,경로사업부_1,40058,매니저_5,79956,본점_4,23407255,고객_9,25108007,상품_11,933,대분류_5,0162,중분류_5,5658,소분류_1,4290,세분류_1,03,PB_3,1238.2087974825133,3164.8897261901448
2024.10,25487,본부_3,66484,사업부_3,77006,영업그룹_2,93691,경로사업부_3,32438,매니저_4,62642,본점_1,67670783,고객_4,52570638,상품_12,952,대분류_3,1856,중분류_2,8121,소분류_2,7951,세분류_5,01,PB_1,3506.399608037447,9349.90180241408
2024.01,42786,본부_4,84073,사업부_4,05944,영업그룹_5,45128,경로사업부_4,40058,매니저_5,40814,본점_3,45124782,고객_2,03742933,상품_13,952,대분류_3,1856,중분류_2,1649,소분류_3,7025,세분류_3,04,PB_4,53826.194436581325,4427.719307764998
2023.03,05467,본부_2,80841,사업부_1,40645,영업그룹_1,93691,경로사업부_3,40058,매니저_5,09443,본점_2,36407697,고객_12,56293679,상품_14,408,대분류_1,1856,중분류_2,8121,소분류_2,7655,세분류_2,02,PB_2,95343.85216109242,8111.232195483258
2023.03,42786,본부_4,84073,사업부_4,77006,영업그룹_2,93691,경로사업부_3,40058,매니저_5,91638,본점_5,24100318,고객_20,52033802,상품_15,614,대분류_4,1856,중분류_2,8121,소분류_2,2897,세분류_4,01,PB_1,99724.26001537676,4023.6802973622207
2023.06,42786,본부_4,80841,사업부_1,66869,영업그룹_3,37283,경로사업부_5,46638,매니저_2,91638,본점_5,58634617,고객_5,12452870,상품_16,933,대분류_5,1856,중분류_2,7296,소분류_5,7951,세분류_5,04,PB_4,37306.726993038996,2913.480058008749
2024.11,42786,본부_4,87570,사업부_5,15000,영업그룹_4,37283,경로사업부_5,68924,매니저_1,91638,본점_5,15967515,고객_19,73623587,상품_17,408,대분류_1,2601,중분류_1,5658,소분류_1,7951,세분류_5,04,PB_4,59650.00124714896,603.1675286706408
