category,reference_year_month,sales_reference_path,path_summary,manager,local_product_team,current_headquarters_id,current_headquarters,product_team_summary_end_month,west_md_end_month,east_md_end_month,md_summary_end_month,product_team_summary_current,current_west_md,current_east_md,md_summary_current,product_team_code,current_product_team,current_business_unit,current_path_department_code,current_path_department,product_category_major_name,product_category_sub,product_category_sub_name,product,product_name,pb_category,pb_category_summary,food_service_only_category,structure,sales_quantity_sku,sales_quantity_kg,sales_amount_gross_basis,sales_amount_gross_basis_summary,sales_cost_amount,product_profit_cost,moving_average_price,other_sales_cost,performance_bonus,company_adjusted_cost,company_adjusted_cost_summary,sales_profit_amount,sales_profit_amount_summary,notes,food_service_summary_flag,performance_summary_flag
FW,2024.08,Catering,General Catering,Processed Goods,East Product Team,3001,Catering Business,,,,,Foodservice Processing Team 1,John Smith,Jane Doe,Mike Johnson,A2,Catering Processing Team 1,Catering South Business Div,8002,Catering Direct (Catering),Processed Foods,10040408,Ketchup,160016,Ottogi Ketchup (Spout Pack 3.3Kg/EA),NB,NB,N,East Product Team,100.0,330.0,659000.0,659000.0,483600.0,0.0,483600.0,0.0,0.0,0.0,0.0,175400.0,175400.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,West Product Team,3001,Catering Business,,,,,Agricultural Team,Sarah Lee,Tom Brown,Emily Clark,C4,Agricultural Team,Catering North Business Div,8002,Catering Direct (Catering),Agricultural Products,20030407,Lettuce (Imported),206722,Lettuce (Product KG),NB,NB,N,West Product Team,500.0,500.0,2500000.0,2500000.0,2000000.0,-5000.0,1995000.0,0.0,0.0,0.0,0.0,500000.0,500000.0,,O,O
FW,2024.08,Catering,General Catering,Processed Goods,Central Team,3001,Catering Business,,,,,Foodservice Processing Team 2,Robert Kim,Lisa Park,David Lee,A3,Catering Processing Team 2,Catering Central Business Div,8002,Catering Direct (Catering),Processed Foods,10040409,Mayonnaise,160017,Ottogi Mayonnaise (Bottle 3Kg/EA),NB,NB,N,Central Team,200.0,600.0,1200000.0,1200000.0,900000.0,-10000.0,890000.0,0.0,0.0,0.0,0.0,300000.0,300000.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,East Product Team,3001,Catering Business,,,,,Seafood Team,Mark Wilson,Anna Chen,Chris Wong,B1,Seafood Team,Catering South Business Div,8003,Catering Direct (Silver),Seafood,30010101,Salmon,300101,Atlantic Salmon (Fillet KG),NB,NB,N,East Product Team,150.0,300.0,4500000.0,4500000.0,3600000.0,-50000.0,3550000.0,0.0,0.0,0.0,0.0,900000.0,900000.0,,O,O
FW,2024.08,Catering,General Catering,Processed Goods,West Product Team,3001,Catering Business,,,,,Dairy Team,Jennifer Lee,Michael Cho,Sophia Kim,D2,Dairy Team,Catering North Business Div,8002,Catering Direct (Catering),Dairy Products,40020201,Cheese,400202,Cheddar Cheese (Block 2Kg/EA),NB,NB,N,West Product Team,80.0,160.0,1600000.0,1600000.0,1280000.0,-20000.0,1260000.0,0.0,0.0,0.0,0.0,320000.0,320000.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,Central Team,3001,Catering Business,,,,,Meat Team,Daniel Park,Emma Lee,James Kim,E1,Meat Team,Catering Central Business Div,8000,Catering Direct (Direct Management),Meat Products,50010101,Beef,500101,Beef Sirloin (Product KG),NB,NB,N,Central Team,300.0,300.0,9000000.0,9000000.0,7200000.0,-100000.0,7100000.0,0.0,0.0,0.0,0.0,1800000.0,1800000.0,,O,O
FW,2024.08,Catering,General Catering,Processed Goods,East Product Team,3001,Catering Business,,,,,Beverage Team,Olivia Choi,Ethan Lee,Ava Park,F3,Beverage Team,Catering South Business Div,8002,Catering Direct (Catering),Beverages,60030101,Juice,600301,Orange Juice (1L/EA),NB,NB,N,East Product Team,500.0,500.0,1000000.0,1000000.0,700000.0,-15000.0,685000.0,0.0,0.0,0.0,0.0,300000.0,300000.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,West Product Team,3001,Catering Business,,,,,Fruit Team,William Kim,Grace Lee,Noah Park,G2,Fruit Team,Catering North Business Div,8003,Catering Direct (Silver),Fruits,70010201,Apple,700102,Fuji Apple (10Kg/BOX),NB,NB,N,West Product Team,100.0,1000.0,2000000.0,2000000.0,1600000.0,-30000.0,1570000.0,0.0,0.0,0.0,0.0,400000.0,400000.0,,O,O
FW,2024.08,Catering,General Catering,Processed Goods,Central Team,3001,Catering Business,,,,,Snack Team,Sophia Lee,Liam Choi,Mia Kim,H4,Snack Team,Catering Central Business Div,8002,Catering Direct (Catering),Snacks,80040101,Chips,800401,Potato Chips (Large 300g/EA),NB,NB,N,Central Team,1000.0,300.0,3000000.0,3000000.0,2100000.0,-50000.0,2050000.0,0.0,0.0,0.0,0.0,900000.0,900000.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,East Product Team,3001,Catering Business,,,,,Vegetable Team,Ethan Park,Emma Kim,Oliver Lee,I1,Vegetable Team,Catering South Business Div,8000,Catering Direct (Direct Management),Vegetables,90050101,Tomato,900501,Cherry Tomato (Product KG),NB,NB,N,East Product Team,200.0,200.0,1000000.0,1000000.0,700000.0,-20000.0,680000.0,0.0,0.0,0.0,0.0,300000.0,300000.0,,O,O
